,timestamp,sho_count
575809,2020-10-12,0
575808,2020-10-13,0
575807,2020-10-14,0
575806,2020-10-15,0
575805,2020-10-16,0
575804,2020-10-19,0
575803,2020-10-20,0
575802,2020-10-21,0
575801,2020-10-22,0
575800,2020-10-23,0
575799,2020-10-26,0
575798,2020-10-27,0
575797,2020-10-28,0
575796,2020-10-29,0
575795,2020-10-30,0
575794,2020-11-02,0
575793,2020-11-03,0
575792,2020-11-04,0
575791,2020-11-05,0
575790,2020-11-06,0
575789,2020-11-09,0
575788,2020-11-10,0
575787,2020-11-11,0
575786,2020-11-12,0
575785,2020-11-13,0
575784,2020-11-16,0
575783,2020-11-17,0
575782,2020-11-18,0
575781,2020-11-19,0
575780,2020-11-20,0
575779,2020-11-23,0
575778,2020-11-24,0
575777,2020-11-25,0
575776,2020-11-27,0
575775,2020-11-30,0
575774,2020-12-01,0
575773,2020-12-02,0
575772,2020-12-03,0
575771,2020-12-04,0
575770,2020-12-07,0
575769,2020-12-08,0
575768,2020-12-09,0
575767,2020-12-10,0
575766,2020-12-11,0
575765,2020-12-14,0
575764,2020-12-15,0
575763,2020-12-16,0
575762,2020-12-17,0
575761,2020-12-18,0
575760,2020-12-21,0
575759,2020-12-22,0
575758,2020-12-23,0
575757,2020-12-24,0
575756,2020-12-28,0
575755,2020-12-29,0
575754,2020-12-30,0
575753,2020-12-31,0
575752,2021-01-04,0
575751,2021-01-05,0
575750,2021-01-06,0
575749,2021-01-07,0
575748,2021-01-08,0
575747,2021-01-11,0
575746,2021-01-12,0
575745,2021-01-13,0
575744,2021-01-14,0
575743,2021-01-15,0
575742,2021-01-19,0
575741,2021-01-20,0
575740,2021-01-21,0
575739,2021-01-22,0
575738,2021-01-25,0
575737,2021-01-26,0
575736,2021-01-27,0
575735,2021-01-28,0
575734,2021-01-29,0
575733,2021-02-01,0
575732,2021-02-02,0
575731,2021-02-03,0
575730,2021-02-04,0
575729,2021-02-05,0
575728,2021-02-08,0
575727,2021-02-09,0
575726,2021-02-10,0
575725,2021-02-11,0
575724,2021-02-12,0
575723,2021-02-16,0
575722,2021-02-17,0
575721,2021-02-18,0
575720,2021-02-19,0
575719,2021-02-22,0
575718,2021-02-23,0
575717,2021-02-24,0
575716,2021-02-25,0
575715,2021-02-26,0
575714,2021-03-01,0
575713,2021-03-02,0
575712,2021-03-03,0
575711,2021-03-04,0
575710,2021-03-05,0
575709,2021-03-08,0
575708,2021-03-09,0
575707,2021-03-10,0
575706,2021-03-11,0
575705,2021-03-12,0
575704,2021-03-15,0
575703,2021-03-16,0
575702,2021-03-17,0
575701,2021-03-18,0
575700,2021-03-19,0
575699,2021-03-22,0
575698,2021-03-23,0
575697,2021-03-24,0
575696,2021-03-25,0
575695,2021-03-26,0
575694,2021-03-29,0
575693,2021-03-30,0
575692,2021-03-31,0
575691,2021-04-01,0
575690,2021-04-05,0
575689,2021-04-06,0
575688,2021-04-07,0
575687,2021-04-08,0
575686,2021-04-09,0
575685,2021-04-12,0
575684,2021-04-13,0
575683,2021-04-14,0
575682,2021-04-15,0
575681,2021-04-16,0
575680,2021-04-19,0
575679,2021-04-20,0
575678,2021-04-21,0
575677,2021-04-22,0
575676,2021-04-23,0
575675,2021-04-26,0
575674,2021-04-27,0
575673,2021-04-28,0
575672,2021-04-29,0
575671,2021-04-30,0
575670,2021-05-03,0
575669,2021-05-04,0
575668,2021-05-05,0
575667,2021-05-06,0
575666,2021-05-07,0
575665,2021-05-10,0
575664,2021-05-11,0
575663,2021-05-12,0
575662,2021-05-13,0
575661,2021-05-14,0
575660,2021-05-17,0
575659,2021-05-18,0
575658,2021-05-19,0
575657,2021-05-20,0
575656,2021-05-21,0
575655,2021-05-24,0
575654,2021-05-25,0
575653,2021-05-26,0
575652,2021-05-27,0
575651,2021-05-28,0
575650,2021-06-01,0
575649,2021-06-02,0
575648,2021-06-03,0
575647,2021-06-04,0
575646,2021-06-07,0
575645,2021-06-08,0
575644,2021-06-09,0
575643,2021-06-10,0
575642,2021-06-11,0
575641,2021-06-14,0
575640,2021-06-15,0
575639,2021-06-16,0
575638,2021-06-17,0
575637,2021-06-18,0
575636,2021-06-21,0
575635,2021-06-22,0
575634,2021-06-23,0
575633,2021-06-24,0
575632,2021-06-25,0
575631,2021-06-28,0
575630,2021-06-29,0
575629,2021-06-30,0
575628,2021-07-01,0
575627,2021-07-02,0
575626,2021-07-06,0
575625,2021-07-07,0
575624,2021-07-08,0
575623,2021-07-09,0
575622,2021-07-12,0
575621,2021-07-13,0
575620,2021-07-14,0
575619,2021-07-15,0
575618,2021-07-16,0
575617,2021-07-19,0
575616,2021-07-20,0
575615,2021-07-21,0
575614,2021-07-22,0
575613,2021-07-23,0
575612,2021-07-26,0
575611,2021-07-27,0
575610,2021-07-28,0
575609,2021-07-29,0
575608,2021-07-30,0
